Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
FG1-Cc,Thy2006,1atm_furnace,0.001,0.00001,1138,gl - ol - cp - pl,47.47,4.21,11.84,,15.84,0.23,5.19,9.88,2.46,0.44,0.42,,97.98
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1154,gl,48.03,4.12,12.7,,15.62,0.3,5.8,9.34,2.81,0.48,0.55,,99.75
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1144,gl - pl,47.78,4.03,12.86,,15.06,0.21,5.42,9.3,2.65,0.49,0.54,,98.34
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1135,gl - ol - pl,48.13,4.42,12.58,,15.81,0.24,5.41,9.4,2.59,0.54,0.53,,99.65
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1126,gl - ol - pl,48.15,4.71,12.11,,16.2,0.18,5.05,9.36,2.61,0.57,0.6,,99.54
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1117,gl - ol - cp - pl,48.18,5.2,11.56,,16.64,0.22,4.78,9.4,2.54,0.58,0.56,,99.66
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1106,gl - ol - cp - pl,48.45,5.17,11.33,,16.91,0.28,4.49,9.02,2.55,0.67,0.59,,99.46
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1179,gl,48.78,4.33,12.99,,14.99,0.22,5.94,9.38,2.39,0.5,0.34,,99.86
FG1-Dc,Thy2006,1atm_furnace,0.001,0.00001,1138,gl - ol - cp - pl,48.6,4.39,12.01,,16.87,0.25,5.08,9.76,2.48,0.59,0.36,,100.39
B1,Botcharnikov2008,IHPV,2,0.02,1150,gl,49.81,2.97,14.7,,11.77,,6.28,10.99,2.71,0.3,,1.3,100.83
B1,Botcharnikov2008,IHPV,2,0.02,1125,gl - ol,49.33,2.96,14.81,,12.27,,5.96,11.25,2.85,0.29,,1.2,100.92
B1,Botcharnikov2008,IHPV,2,0.02,1100,gl - ol - cp - pl,48.79,3.7,13.84,,14.08,,4.93,10.01,2.97,0.35,,1.9,100.57
